UMAP_1;UMAP_2;Ident
7,740025053;-2,425852446;Liver
6,787323008;-2,438248305;Liver
7,58388854;1,689853104;Liver
7,740775118;-2,717683462;Liver
7,555435667;0,887400092;Liver
7,703813086;-2,163147358;Liver
7,608603964;1,830787154;Liver
7,63468648;-2,426298766;Liver
7,403641234;-0,752651839;Liver
2,939508209;7,065430971;Liver
7,361174116;0,378597112;Liver
7,12305213;-0,32969108;Liver
7,1863556;-0,169240384;Liver
7,922411451;-2,171922831;Liver
7,503727923;1,002911868;Liver
7,223335753;-2,412690071;Liver
7,002056608;-2,225499062;Liver
7,343372355;-2,351977734;Liver
6,880744467;-2,414619116;Liver
7,568751822;-2,509191422;Liver
7,576895247;1,471715571;Liver
7,559989462;1,586876186;Liver
7,330277453;2,492928358;Liver
7,312553892;-2,54643455;Liver
7,497768412;0,71649036;Liver
6,934382448;-2,081621556;Liver
7,899822722;-2,311773924;Liver
7,524139891;-2,382086663;Liver
7,575634012;1,435281159;Liver
6,96678401;-2,182579188;Liver
7,159244547;-0,040831713;Liver
7,252010355;0,009582372;Liver
7,052773008;-2,484741358;Liver
7,137583742;-2,102355627;Liver
7,478163729;2,116594048;Liver
6,813257227;-2,372936873;Liver
7,132314692;-0,922221689;Liver
7,274117479;0,143377932;Liver
7,428144941;0,693386258;Liver
7,48205472;0,8526188;Liver
7,060041437;-2,818585305;Liver
7,20865489;-2,215517191;Liver
1,898165355;7,256934019;Liver
7,283261786;2,289957257;Liver
7,441151629;1,803416165;Liver
7,528793345;0,840536015;Liver
7,539393435;0,626545252;Liver
7,069165716;-2,157252459;Liver
7,497312079;1,868102821;Liver
7,64046813;-0,130085377;Liver
7,451369772;1,914763005;Liver
7,283389101;-1,098475603;Liver
7,163095007;-0,210947661;Liver
7,626775751;1,560518147;Liver
7,909554014;-1,972935109;Liver
7,963397036;-2,01090136;Liver
7,249294768;-2,318490414;Liver
7,135035524;-2,299516825;Liver
7,145405779;-1,279588608;Liver
7,003005037;-2,70063105;Liver
6,963903914;-2,711239247;Liver
7,359502325;2,408810826;Liver
7,164993773;-2,571432022;Liver
1,812899838;7,166228624;Liver
7,780279646;-1,816435246;Liver
7,081584463;-1,743566183;Liver
7,214997778;2,517954798;Liver
7,391499529;1,991253527;Liver
7,67129899;-0,099674014;Liver
7,530773172;-0,917359857;Liver
7,52896596;1,848955544;Liver
7,426660547;-2,725371985;Liver
7,440579424;-0,811354784;Liver
7,37301446;-2,137169985;Liver
7,611794005;1,271001266;Liver
7,469524393;-1,107150463;Liver
2,948795328;7,092876287;Liver
7,757402907;-1,878869442;Liver
7,168826113;-1,996023802;Liver
7,398666868;2,309367509;Liver
7,486964235;2,066163214;Liver
2,05077363;7,244803758;Liver
8,050750742;-2,020015864;Liver
7,795538912;-1,820683865;Liver
7,568791399;0,707174065;Liver
7,551590929;1,143358754;Liver
7,528180609;0,577364685;Liver
7,041519652;-1,779073624;Liver
7,712022314;-1,596433071;Liver
5,054050932;-5,655214934;Liver
7,601809034;-0,296202926;Liver
8,031150828;-1,839214711;Liver
7,556598673;-1,082711844;Liver
7,18982173;-1,694760231;Liver
7,235276709;-0,984536557;Liver
7,32372428;0,419695528;Liver
7,552062044;1,458729537;Liver
-12,3244419;2,825573416;Sporozoite
-12,78014945;2,397711845;Sporozoite
-12,51262092;4,316912027;Sporozoite
-12,15896892;3,304794641;Sporozoite
-12,58918761;3,999873729;Sporozoite
-12,47629165;3,914662452;Sporozoite
-11,6583414;5,723709436;Sporozoite
-12,53299998;1,356179209;Sporozoite
-12,18856048;2,321907135;Sporozoite
-12,31179809;1,565522941;Sporozoite
-12,4448223;3,47143993;Sporozoite
-12,39348029;3,570983263;Sporozoite
-12,35650252;2,234921666;Sporozoite
-12,29350947;1,77201155;Sporozoite
-12,27848243;2,078673216;Sporozoite
-12,27658557;3,119796844;Sporozoite
-12,44911193;3,454231353;Sporozoite
-12,55795192;2,810883136;Sporozoite
-12,01538276;3,081993433;Sporozoite
-12,51635074;3,635176988;Sporozoite
-12,00864505;3,064967127;Sporozoite
-12,23534583;5,356477113;Sporozoite
-12,23992824;4,663785072;Sporozoite
-12,19858455;1,669875177;Sporozoite
-12,34085082;2,131946536;Sporozoite
-12,6589651;2,971849294;Sporozoite
-12,44227408;4,192281576;Sporozoite
-12,61777305;1,446552547;Sporozoite
-12,8041706;2,282363148;Sporozoite
-11,85405635;2,69916174;Sporozoite
-11,40071677;6,659138532;Sporozoite
-12,71102714;2,210769029;Sporozoite
-12,89730071;2,258236499;Sporozoite
-11,69049357;5,100719305;Sporozoite
-12,20355319;2,275899978;Sporozoite
-12,45572566;1,685111316;Sporozoite
-12,48417758;3,115299554;Sporozoite
-11,9789009;2,147191616;Sporozoite
-12,52472209;1,823750885;Sporozoite
-12,35527801;3,371394964;Sporozoite
-11,96455764;3,142772051;Sporozoite
-12,55944823;2,61695406;Sporozoite
-12,63558768;3,434711309;Sporozoite
-12,0834999;3,646071764;Sporozoite
-11,8945999;2,540917369;Sporozoite
-13,0363388;2,12665567;Sporozoite
-11,98983573;2,488286467;Sporozoite
-12,39271163;3,762334915;Sporozoite
-12,3306322;3,294196697;Sporozoite
-12,28615378;3,305020185;Sporozoite
-12,25933742;3,90867457;Sporozoite
-11,83868789;5,9894484;Sporozoite
-13,13167762;2,552609892;Sporozoite
-12,57737254;1,902302714;Sporozoite
-12,71471309;2,368282409;Sporozoite
-12,39226722;3,283790918;Sporozoite
-12,89528464;2,359691949;Sporozoite
-12,01711177;3,584868045;Sporozoite
-11,99893569;3,787216993;Sporozoite
-12,00862979;1,853989514;Sporozoite
-13,17541312;2,56354961;Sporozoite
-12,63453578;1,963382693;Sporozoite
-12,66855144;2,431179138;Sporozoite
-12,29421424;3,200737806;Sporozoite
-13,010643;2,362118931;Sporozoite
-12,07556724;3,648952098;Sporozoite
-11,96679019;3,893217178;Sporozoite
-12,03819274;1,750045748;Sporozoite
-12,34260749;3,07677445;Sporozoite
-12,24897384;1,803036602;Sporozoite
-12,13152312;3,897249075;Sporozoite
-12,48227977;1,857529791;Sporozoite
-12,39206313;2,59107122;Sporozoite
-12,50814628;3,097310873;Sporozoite
-12,57791804;2,54163179;Sporozoite
-12,09641646;3,033230396;Sporozoite
-12,11430549;4,558756443;Sporozoite
-12,36063289;3,735463472;Sporozoite
-12,07286071;2,863918753;Sporozoite
