Gene_IDs;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7
Gene_190;3,77;2,09;4,76;9,79;0,63;2,6;7,54
Gene_191;5,52;3,17;3,96;4,37;3,65;2,68;2,4
Gene_192;3,78;0,05;3,38;3,42;2,45;1,3;2,24
Gene_193;7,51;0;4,65;4,02;1,09;2,11;0,1
Gene_194;2,98;0,18;1,56;1,3;0,46;1,53;0,04
Gene_195;6,31;1,04;4,73;3,84;1,85;4,63;0,07
Gene_196;0,98;0,04;0,78;0,62;0,4;8,5;0,14
Gene_197;6,1;0,59;6,04;4,27;1,18;2,5;0,2
Gene_198;4,72;2,11;3,79;3,56;1,84;4,55;0,08
Gene_199;3,12;0,16;2,33;1,69;1,4;1,49;0,76
Gene_200;3,07;0,25;2,3;2,75;2,57;1,26;2,71
Gene_201;3,75;0,05;1,25;0,54;0,04;0,39;0
Gene_202;6,8;0,38;2,77;2,18;0,8;2,61;0,37
Gene_203;4,6;0,02;4,05;5,33;0,29;4,56;5,3
Gene_204;1,74;0;0,4;0,7;0,07;2,32;0,61
Gene_205;5,51;0,03;3,77;3,08;0,1;4,28;0,24
Gene_206;1,29;0,2;1,05;1,06;0,29;8,57;0,28
Gene_207;3,05;0,25;0,77;2,61;6,3;4,81;5,33
Gene_208;5,12;0,55;2,78;2,52;0,33;3,28;1,47
Gene_209;5,78;3,32;5,73;5,12;2,03;2,66;1,54
Gene_210;4,29;0,1;3,92;3,16;1,85;3,58;3,46
Gene_211;7,56;0,73;3,85;4,03;4,68;5,28;3,26
Gene_212;3,06;0,13;4,39;1,95;1,14;1,9;1,12
Gene_213;7,41;3,71;6,21;8,45;3,86;5,86;6,21
Gene_214;2,74;0;1,85;2,18;0,04;1,43;0,25
Gene_215;5,95;0,03;4,96;7,9;0,4;3,56;0,09
Gene_216;1,87;0,17;0,29;0,63;1,18;0,15;0,44
Gene_217;2,43;0,23;1;1,13;0,98;0,88;0,68
Gene_218;1,81;0,42;0,49;0,38;0,03;0,04;0
Gene_219;3,87;9,85;4,15;2,11;1,73;7,4;8,57
Gene_220;2,94;3,48;3,83;5,66;5,08;1,74;2,03
Gene_221;2,74;0,05;1,54;4,73;1,72;3,08;1,56
Gene_222;5,9;0,91;3,32;2,03;0,44;1,96;0,45
Gene_223;4,06;1,03;3,43;3,64;1,4;2,41;1,05
Gene_224;3,98;0,55;7,12;8,82;1,53;3,02;7,24
Gene_225;2,19;0,02;2,56;2,35;0,38;1,43;0,57
Gene_226;1,19;0;7,36;7,02;3,15;2,8;0,42
Gene_227;5,98;0,25;3,12;2,41;3,21;1,27;1,53
Gene_228;0,54;0,02;0,47;0,24;0,23;0,31;1,55
Gene_229;2,25;0,02;2,96;4,3;0,84;2,57;4,7
Gene_230;4,18;0,03;1,6;0,4;0,24;0,87;0,08
Gene_231;5,13;0,54;4,76;7,63;2,89;5,19;4,81
Gene_232;0,06;0,38;2,23;2,19;1,35;2,24;4,78
Gene_233;2,24;0,32;1,14;1,55;0,13;1,83;2,06
Gene_234;2,98;0,38;4,17;3,84;0,9;1,79;1,06
Gene_235;4,41;0,27;1,96;1,55;0,18;1,56;0,45
Gene_236;2,77;1,26;4,59;5,27;1,26;4,01;0,43
Gene_237;3,76;1,63;6,34;2,76;0,21;6,31;1,97
Gene_238;2,59;0,2;2,61;2,5;0,47;0,97;0,97
Gene_239;4,25;0,02;4,3;2,39;0,86;1,09;0,46
Gene_240;0,23;0,01;3,59;1,12;3,27;1,06;0,02
Gene_241;3,13;0,06;6,17;7,66;1,39;5,12;2,76
Gene_242;6,1;0,4;2,89;3,07;0,37;1,88;2,21
Gene_243;6,49;5;7,13;5,59;1,85;2,61;0,9
Gene_244;0,38;0,5;0,7;3,5;0,38;0,48;0,1
Gene_245;2,23;3,45;1,22;0,7;0,05;4,67;0,89
Gene_246;4,26;0,01;1,06;1,51;0,22;3,99;0,05
Gene_247;4,7;0;1,43;1,78;0,08;1,71;0
Gene_248;4,27;0;1,97;2,1;0,35;1,31;1
Gene_249;6,1;0,25;6,65;6,09;6,07;2,93;4,14
Gene_250;0,21;0,01;6,69;1,45;5,48;0,36;0,79
Gene_251;0,19;3,38;1,33;2,32;1,49;0,52;0,14
Gene_252;2,47;7,54;4,95;3,6;0,88;2,44;0,53
Gene_253;3,16;1,91;2,13;5,74;0,31;2,76;0,42
Gene_254;1,78;0,1;7,46;3,71;0,82;10,24;0,2
Gene_255;3,79;0,3;2,03;2,07;1,43;3,18;5,81
Gene_256;5,66;1,74;2,54;2,09;2;2,11;1,43
Gene_257;2,49;0,41;1,04;1,06;0,9;1,85;1,97
Gene_258;2,56;4,85;5,38;1,59;0,15;5,07;0,02
Gene_259;4,19;2,24;2,65;1,47;0,17;0,51;0
Gene_260;6,17;0,7;3,41;2,13;0,02;0,94;0,08
Gene_261;2,69;0,28;3,02;2,88;0,97;2,33;2,21
Gene_262;0,96;0,56;4,31;2,6;0,64;3,77;0,11
Gene_263;5,05;0,22;3,04;2,74;2,33;5,59;0,59
Gene_264;1,17;0,27;2,28;2,94;0,4;2,5;0,26
Gene_265;5,85;3,56;6,31;5,92;1,36;4,77;7,85
Gene_266;4,59;3,08;5,77;6,74;2,5;3,69;4,52
Gene_267;5,64;4,15;4,27;4,65;0,82;4;3,91
Gene_268;1,87;0;2,01;2,04;0,28;1,51;1,68
Gene_269;2,23;0,65;4,15;4,58;0,5;0,5;0,27
Gene_270;4,75;1,06;4,62;4,39;0,62;0,7;0,28
Gene_271;3,77;0,51;2,15;1,04;0,17;1,53;0,35
Gene_272;2,46;1,07;1,59;2,24;0,44;0,72;0,1
Gene_273;3,47;1,27;1,82;1,53;1,2;2,18;0,46
Gene_274;5,24;6,5;4,41;2,67;0,84;2,93;0,28
Gene_275;2,75;0,27;2,07;3,23;0,21;2,28;0,06
Gene_276;7,29;0,03;6,07;7,82;0,31;4,04;0,12
Gene_277;4,94;0,1;3,89;3,16;0,08;2,32;0,48
Gene_278;1,91;0,69;1,99;0,87;0,11;2,07;0,56
Gene_279;1,36;0,01;0,68;1,36;0,1;0,58;0,1
Gene_280;4,26;0,1;3,29;4,84;0,93;1,94;1,01
Gene_281;3,29;0,55;0,69;1,44;2,83;1,37;1,22
Gene_282;7,74;0,18;5,72;5,83;0,83;5,13;3,64
Gene_283;5,26;1,94;5,37;6,64;1,31;2,55;4,71
Gene_284;2,19;0,09;1,81;0,95;0,06;1,88;0,42
Gene_285;5,05;0,09;4,08;3,41;0,11;2,97;0,02
Gene_286;2,86;0,36;1,2;0,72;0,06;1,9;1,7
Gene_287;1,86;0,82;1,83;0,63;0,04;1,61;3,53
Gene_288;5,01;4,63;5,45;3,34;0,4;3,86;4,45
Gene_289;0,83;0,3;2,24;0,73;3,35;5,07;0,38
Gene_290;4,23;2,04;5,56;4,88;1,75;2,57;1,37
Gene_291;5,32;3,54;7,35;3,2;1,21;6,09;0,8
Gene_292;4,57;0,47;3,78;3,06;0,04;1,9;0,89
Gene_293;4,92;1,19;7,32;7,23;2,2;4,56;7,24
Gene_294;4,13;0;3,48;1,8;0,14;0,61;0
Gene_295;6,57;2,7;3,8;2,42;2,08;1,36;0,32
Gene_296;6,12;2,34;2,71;1,04;2,28;3,89;0,26
Gene_297;5,81;3,57;4,4;3,83;3,38;3,62;1,69
Gene_298;5,84;0,6;2,86;1,95;0,3;2,12;0
Gene_299;2,17;0,14;3,28;1,28;2,32;5,56;0,39
Gene_300;0,15;0;0,32;0,69;0,95;1,65;5,5
Gene_301;0,54;0,07;3,52;1,63;1,91;8,35;0,18
Gene_302;3,13;1,1;2,45;0,44;0,03;0,59;0,07
Gene_303;6,3;1,41;6,33;1,77;0,02;1,88;0,35
Gene_304;4,48;0,06;3,7;6;1,31;2,11;0,37
Gene_305;4,35;5,15;5,33;5,79;3,53;3,56;2,01
Gene_306;2,13;0,02;4,32;2,14;3,45;3,42;3,27
Gene_307;0,14;0;0,1;0,03;0,05;0,12;0,08
Gene_308;0,26;0;0,13;0,26;0,06;0,08;0
Gene_309;0,14;0,03;0,69;3,65;0,07;0,53;0,13
Gene_310;1,88;0;0,5;3,28;4,35;0,52;0,66
Gene_311;2,95;0,02;2,64;6,54;4,64;3,03;3,7
Gene_312;4,87;0;1,61;5,25;3,82;6,98;0,59
Gene_313;2,26;0;1,55;1,86;1,19;0,06;0
Gene_314;0,49;0;0,66;2,02;0,09;0;0
Gene_315;0,04;0;0;0,13;0,01;0;0,24
Gene_316;0,91;0;0,99;3,62;0,08;0,02;0
Gene_317;0;0;0,01;0,03;0;0;0
Gene_318;1,38;0,01;3,24;3,91;1,33;0,31;0
Gene_319;0;0;0;0,01;0,02;0,02;0,03
Gene_320;0,04;0;0,03;0,23;0,25;0,02;0,03
Gene_321;0;0;0;0,15;0,07;0,04;0
Gene_322;0;0;0;0;0;0;0,05
Gene_323;0,63;0;0,2;0,07;0,01;0,07;0,26
Gene_324;0,04;0;0,01;0,02;0;0,04;0,05
Gene_325;0,38;0;0,42;1,27;1,34;0,2;0,06
Gene_326;0,02;0;0,07;0,28;3,26;0,14;0,48
Gene_327;0,06;0;3,23;4,86;2,35;0,32;0,28
Gene_328;0;0,02;0,02;0,24;0,86;0,1;0,02
Gene_329;0,02;0;2,26;3,26;0,63;0,15;0
Gene_330;0;0;0;0;0;0;0
Gene_331;0;0;0,01;0;0;0,04;0,33
Gene_332;0;0;0;0;0,02;0;0,17
Gene_333;0,72;0,03;0,98;5,6;4,46;2,73;2,85
Gene_334;5,2;3,01;3,27;3,3;3,24;4,31;1,53
Gene_335;3,77;0,46;1,62;1,28;0,25;1,54;0,35
Gene_336;2,75;0,49;3,53;2,37;0,21;2,11;1,08
Gene_337;2,15;0,08;2,19;1,7;3,16;3,77;6,49
Gene_338;4,92;0,05;2,68;2,56;1,04;3,85;1,84
Gene_339;1,16;0,04;2,12;2,75;0,88;2;2,02
Gene_340;6,58;0,51;4,33;8,27;1,23;9,09;9,89
Gene_341;0,24;0;0,04;0;0,02;0,01;0,2
Gene_342;0,73;0;0,91;1,06;0,33;0,45;3,04
Gene_343;5,35;0,37;1,93;0,69;2,06;1,44;0,28
Gene_344;4,38;0,61;2,94;2,67;0,54;10,28;0,03
Gene_345;0,93;0;1,55;1,75;0,1;2,53;0,32
Gene_346;0,08;0,12;1;1,06;0,33;1;6,69
Gene_347;3,37;2,03;3,69;4,65;2,67;3,4;3,13
Gene_348;2,66;0,03;2,28;4,88;5,1;6,04;0,75
Gene_349;2,14;0,16;1,56;1,41;0,76;2,2;4,17
Gene_350;1,44;0,11;0,41;1,85;0,85;3,01;5,08
Gene_351;3,9;0,34;2,29;4,39;1,39;2,42;1,06
Gene_352;3,55;0,18;1,73;1,99;1,19;1,46;2,42
Gene_353;2,78;0,17;0,31;6,48;1,9;0,46;3,39
Gene_354;3,37;1,47;0,9;0,55;0,12;6,03;0,65
Gene_355;2,43;0,18;0,5;0,78;0,05;1,08;0,41
Gene_356;1,18;0,28;1,18;0,55;0,65;0,91;4,88
Gene_357;0,03;0,01;0,28;0,15;0,05;0,16;5,4
Gene_358;0,26;0,12;1,06;0,26;0,14;0,75;4,48
Gene_359;3,57;0,13;2,52;3,69;0,34;1,11;0,67
Gene_360;5,4;0,02;5,18;6,66;0,84;1,7;0,34
Gene_361;3,32;0,08;2,27;2,02;1,11;1,11;4,88
Gene_362;5,09;1,07;5,1;5,91;1,3;3,57;2,84
Gene_363;2,22;0,27;4,02;3,8;1,05;6,25;0,18
Gene_364;6,67;0,29;7,11;8,74;1,88;4,5;1,4
Gene_365;6,6;2,44;6,56;6,22;1,31;3,15;5,02
Gene_366;4,69;1,48;4,57;5,05;1,87;3,29;2,56
Gene_367;0,4;0,81;0,97;0,64;4,25;2,95;2,97
Gene_368;1,41;2,29;2,21;2,05;1,16;1,35;0,66
Gene_369;1,29;1,98;0,64;0,81;0,93;2,63;0,61
Gene_370;3,81;0,16;1,55;0,52;0,22;0,44;0
Gene_371;4,53;0,28;1,93;1,4;1,68;1,04;0,36
Gene_372;1,4;0,32;2,33;8,34;3,7;3,37;0,36
Gene_373;4,55;3,96;5,31;3,46;5,24;4,29;3,46
Gene_374;2,98;0,31;0,89;0,71;0,01;1,1;0,25
Gene_375;0,9;6,07;0,73;0,06;0;0,16;0
Gene_376;0,66;0,46;6,29;8,92;2,41;1,29;0,47
Gene_377;2,5;0,14;6,9;10,32;10,67;1,29;1,86
Gene_378;0,29;0,01;5,54;8,3;8,42;1,44;0,48
Gene_379;3,05;0,02;9,29;12,5;8,98;1,85;0,65
Gene_380;3,04;0,1;5,76;4,14;0,62;0,55;2,6
Gene_381;5,59;2,01;1,83;0,34;1,42;0,85;1,14
Gene_382;4,72;1,5;3,08;3,27;1,65;1,25;2,43
Gene_383;3,63;1,95;2,75;1,22;0,54;2,61;0,56
Gene_384;2,89;0,01;4,41;3,84;0,22;0,9;0
Gene_385;4,16;1;4,09;3,09;0,37;1,79;0,18
Gene_386;5,67;0,43;3,38;3,88;0,23;2,09;0,34
Gene_387;4,48;0,02;2,36;2,56;0,11;3,24;1,37
Gene_388;1,66;2,08;2,11;2,46;0,32;0,3;5,22
Gene_389;0,39;0,13;0,56;0,68;0,46;0,18;7,9
Gene_390;2,22;0,4;2,94;2,86;0,49;1,51;0,37
