Gene_IDs;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7
Gene_844;5,81;1,45;2,86;2,39;0,67;3,41;0,33
Gene_845;0,31;6,2;0,43;0,22;0,34;0,05;0,04
Gene_846;4,75;0,46;4,58;5,75;0,85;1,6;0,3
Gene_847;3,63;0,55;5,83;6,01;4,5;4,44;7,96
Gene_848;6,31;0,16;4,55;2,49;1,28;4,11;0,17
Gene_849;6,63;0,34;4,91;5,48;3,41;2,46;0,49
Gene_850;1,78;0,91;1,37;0,44;3,87;1,44;0,06
Gene_851;2,92;3,02;3,25;3,02;3,09;6,83;5,14
Gene_852;2,37;0,02;2,33;0,34;0,08;1,02;0,87
Gene_853;2,92;0,01;3,15;2,2;0,05;1,17;1,85
Gene_854;4,84;0,37;3,28;2,7;0,2;0,25;0,12
Gene_855;3,93;0,2;1,8;2,29;0,12;0,15;0
Gene_856;2,31;0,84;2;1,92;2;3,16;0,07
Gene_857;6,38;0,02;0,91;2,52;2,42;14,91;3,26
Gene_858;9,5;1,82;1,63;2,9;2,63;15,37;2,32
Gene_859;2,22;0;0,4;2,37;0,27;2,73;0,13
Gene_860;1,12;0,1;0,8;0,5;3,64;2,28;0,41
Gene_861;5,51;1,78;5,68;4,33;2,67;5,37;0,64
Gene_862;2,03;0,2;1,37;0,41;0,13;1,9;0,26
Gene_863;4,73;2,69;4,22;3,69;0,22;3,36;1,03
Gene_864;2,98;0,76;2,28;0,86;2,37;0,98;0,35
Gene_865;0,08;0,02;2,74;3,23;0,55;0,19;0,12
Gene_866;0,89;0;1,37;1,09;0,2;0,61;0,17
Gene_867;5,5;0,12;3,55;3,18;0,74;1,06;0,54
Gene_868;4,54;1,98;4,52;6,06;1,3;4,66;5,51
Gene_869;1,04;0,18;1,49;0,47;0,27;6,13;0,12
Gene_870;3,33;0,18;0,97;1,62;0,95;1,7;0,75
Gene_871;2,78;0,11;4,7;7,18;0,92;3,33;0,68
Gene_872;4,5;0,38;1,62;3,54;0,22;2,7;1,88
Gene_873;3,57;0,38;1,71;1,42;0,12;2,48;1,01
Gene_874;5,86;1,21;5,47;6,43;1,05;2,32;3,94
Gene_875;4,77;0,04;3,78;1,31;0,39;2,54;5,27
Gene_876;3,23;0,07;3,49;1,73;0,12;1,86;0,07
Gene_877;3,66;0,07;1,79;2,03;0,03;1,38;0,05
Gene_878;5,16;3,98;4,08;4,86;4,23;3,03;2,02
Gene_879;2,82;0,17;1,84;7,73;7,77;6,75;5,24
Gene_880;3,05;0;2,13;1,89;0,26;0,33;1,71
Gene_881;4,46;0;1,31;2,03;0,21;1,51;1,83
Gene_882;4,71;0,02;3,69;1,29;0,9;1,61;0,35
Gene_883;6,18;1,43;4,79;5,82;2,14;3,37;2,25
Gene_884;1,59;0,15;2,44;5,11;3,73;5,1;0,96
Gene_885;0,3;0,01;0,43;0,67;0,59;10,67;0,11
Gene_886;0,79;0,4;2,75;2,13;0,29;2,23;2,03
Gene_887;2,96;0,07;2,22;3,99;0,58;1,67;0,19
Gene_888;2,67;0;3,64;4,39;0,51;3,92;0,19
Gene_889;1,1;0,02;1,58;1,41;0,16;4,4;0,08
Gene_890;0,52;0,03;2,05;0,05;0,02;0,73;0
Gene_891;4,46;0;2,04;3,15;0,17;2,86;0
Gene_892;3,75;0,03;2,73;2,73;0,43;2,81;0,73
Gene_893;2,54;0;2,69;2,72;1,01;1,41;1,37
Gene_894;0,07;0;0,66;0,99;0,66;6,12;0,67
Gene_895;3,03;0,1;2,37;1,51;0,02;2,04;0,14
Gene_896;6,48;0,58;5;6,63;2,26;5,07;0,4
Gene_897;5,56;0,16;4,38;1,14;0,17;0,04;0
Gene_898;3,46;0;9,86;3,14;1,05;0,46;0
Gene_899;0,96;0,03;3,17;10,38;10,2;5,08;0,79
Gene_900;0;0;4,73;7,46;10,51;1,69;1,38
Gene_901;0,32;0;4,24;5,33;9,67;1,49;1,38
Gene_902;0,18;0;7,71;5,09;6,56;0,9;0,26
Gene_903;0,29;0;8,86;6,95;6,71;3,06;0,5
Gene_904;1,67;0,2;10,8;1;0,31;0,28;0
Gene_905;3,61;0,09;2,42;1,86;0,43;1,77;0,93
Gene_906;5,3;0,13;4,13;2,48;0,39;2,63;2,51
Gene_907;5,33;0,13;7,19;7,11;1,14;4,61;0,44
Gene_908;6,99;1,5;5,19;6,34;1,99;3,87;2,54
Gene_909;4,73;0;4,47;5,03;0,27;0,86;0
Gene_910;1,11;0,03;2,13;0,95;0,15;4,6;0
Gene_911;8,04;0,18;2,21;6,57;1,53;6,97;0,42
Gene_912;3,21;0,15;2,01;2,59;1,47;0,9;1,23
Gene_913;1,75;0,01;2,7;3,5;3,7;2,85;0,43
Gene_914;5,57;0,42;4,52;3,94;0,13;1,82;0,28
Gene_915;3,85;0,02;4,36;3,94;0,48;0,98;1,13
Gene_916;2,74;0,04;3,36;2,93;0,46;1,47;5,17
Gene_917;4,53;0;2,53;2,9;0,75;2,2;1,42
Gene_918;7,66;0,01;7,84;11,21;7,55;6,74;5,45
Gene_919;3,66;0;4,28;3,34;0,31;0,54;0,54
Gene_920;2,84;0,03;1,8;1,76;0,22;0,64;1,79
Gene_921;1,27;0;1,15;0,92;0,1;3,19;6,8
Gene_922;6,5;7,3;4,51;3,04;3,4;1,55;0,96
Gene_923;8,11;0,34;2,46;5,1;0,69;0,15;0,05
Gene_924;7,61;10,11;6,86;7,28;7,06;4,92;3,83
Gene_925;5,34;3,74;5,67;4,21;3,82;3,28;2,29
Gene_926;4,01;0,85;1,36;2,05;1,34;1,37;0,98
Gene_927;2,18;0,19;0,67;0,08;0,21;4,51;1,36
Gene_928;3,89;0,33;2,64;2,21;0,61;1,97;1,61
Gene_929;6,6;10,54;4,22;2,1;6,59;5,58;2,11
Gene_930;3,56;0,17;0,96;1,83;0,57;0,57;0,66
Gene_931;1,76;0,14;1,56;1,54;0,66;2,88;4,28
Gene_932;2,44;0,37;1,87;1,43;1,24;1,05;2,89
Gene_933;0,79;1,43;0,58;0,75;0,45;0,43;5,91
Gene_934;0,26;2,66;0,13;0;0,36;6,31;0,82
Gene_935;0,07;0,09;0,49;0,86;0,81;5,64;0,01
Gene_936;3,63;0,19;3,28;1,55;0,23;4,52;0,4
Gene_937;3,05;0,01;1,29;2,75;0,59;1,62;0,36
Gene_938;5,59;4,02;4,4;4,52;1,22;4,18;3,45
Gene_939;2,72;0,05;6,66;10,63;2,32;8,35;11,93
Gene_940;9,25;0,73;5;9,79;3,04;6,88;2,66
Gene_941;6,25;1,16;5,11;5,72;2,24;3,62;3,6
Gene_942;1,42;0,34;1,02;0,98;0,23;0,8;0,72
Gene_943;1,89;0,26;0,77;1,84;0,25;0,58;0,66
Gene_944;4,61;0,07;1,27;2,98;0,05;0,27;0,1
Gene_945;3,31;0,01;4,73;5,43;0,71;2,73;0,75
Gene_946;2,51;0,15;1,11;2,3;0,67;1,44;0,34
Gene_947;1,3;0,03;0,54;2,54;0,22;1,19;0,05
Gene_948;5,29;0,03;3,04;3,17;0,33;5,13;0,29
Gene_949;1,13;3,01;2,65;2;5,94;0,96;4,47
Gene_950;0,03;0;0,5;0,07;4,56;0,43;0,58
Gene_951;1,85;0,4;2,66;7,15;8,07;11,5;4,32
Gene_952;4,14;0,74;3,31;3,57;0,7;1,84;1,95
Gene_953;0,76;0,02;0,21;0,71;3,31;0,35;0,41
Gene_954;0,54;0,02;3,06;7,46;3,9;3,1;4,51
Gene_955;2;0;3,51;10,32;5,84;4,95;5,87
Gene_956;1,42;0,01;2,17;3,99;0,85;0,3;0,68
Gene_957;0,01;0,01;0,13;0,16;2,74;0,18;0,28
Gene_958;2,3;0,11;0,34;2,07;3,64;2,33;4,13
Gene_959;5,05;0,03;4,47;6,47;3,03;4,8;3,75
Gene_960;1,73;0,01;1,5;11,02;7,22;6,31;4,45
Gene_961;0,22;0;0,12;1,46;0,87;0,03;0,04
Gene_962;0,03;0,03;0;0,15;0,48;0,03;0,21
Gene_963;0,01;0;0;0,02;0,14;0;0
Gene_964;0,82;0,02;0,2;0;0,11;0;0,05
Gene_965;0,21;0;0,09;0,42;0,09;0,03;0
Gene_966;0;0;0;0,13;0,06;0,41;1,44
Gene_967;0,45;0;0,04;0,4;1,66;0,06;0,06
Gene_968;1,1;0,17;0,14;0,19;0;0;0,02
Gene_969;0;0;0;0;0;0,02;0,08
Gene_970;0;0;0,03;0,07;0;0,02;1,07
Gene_971;0,41;0;0,08;0,06;0,23;0;0,07
Gene_972;0;0;0;0;0,06;0,02;0,2
Gene_973;0;0;0;0;0;0;0,43
Gene_974;0,04;0;0;0;0;0;0,35
Gene_975;0;0;0,02;0;0,01;0;0,27
Gene_976;0,25;0,11;0,18;0,25;1,4;0,18;0,48
Gene_977;1,52;0;0,21;2,46;0,13;1,37;0,08
Gene_978;5,26;0,62;3,43;2,71;0,6;1,12;0,15
Gene_979;1,05;0,16;0,72;1,61;0,7;6,3;11,32
Gene_980;0,39;0,26;0,14;0,36;0,09;1,38;5,82
Gene_981;1,91;0,04;2,15;2,67;1,12;3,31;0,52
Gene_982;1,92;0,35;1,44;1,57;0,53;1,59;5,56
Gene_983;4,42;0,32;1,37;2;0,74;2,55;1,45
Gene_984;7,06;0,02;5,2;7,82;0,8;8,09;1,69
Gene_985;3,7;0,16;1,05;0,62;0,34;3,11;8,86
Gene_986;6,16;0,27;2,53;1,8;0,43;3,1;1,93
Gene_987;3,68;0,13;1,31;1,82;1,92;3,85;1,05
Gene_988;6,5;4,99;7,44;7,85;3,73;6,11;0,98
Gene_989;5,21;0,98;3,91;2,56;2,12;0,61;0,26
Gene_990;3;0,01;1,18;1,26;0,02;1,52;0,61
Gene_991;3,36;2,14;7,68;9,2;5,61;3,65;6,98
Gene_992;4,12;3,46;4,32;4,9;0,46;3,69;6,05
Gene_993;2,45;0,06;2,27;2,34;0,63;2,81;0,36
Gene_994;3,42;0,12;1,53;1,75;0,41;1,48;0,9
Gene_995;2,49;0,58;2,56;3,51;1,54;2,55;3,63
Gene_996;2,43;1,74;3,66;6,02;3,15;5,67;2
Gene_997;3,68;0,25;1,02;0,47;0,22;2,28;0
Gene_998;3,72;0,08;1,37;0,45;0,07;1,3;0
Gene_999;7,79;0,04;7,23;8,29;1,36;6,44;4,46
Gene_1000;8,08;0;5,23;8,06;5,65;10,12;7,77
Gene_1001;0,13;0,15;0,38;0,31;0,14;1,41;6,49
Gene_1002;2,79;0,15;2,06;0,95;0,11;1,71;7,3
Gene_1003;0,74;0,03;0,54;0,34;0;1,26;0,11
Gene_1004;9,07;0,25;4,78;6,54;2,77;1,91;1,07
Gene_1005;2,81;0,08;3,35;1,09;0,42;9,27;0,63
Gene_1006;5,6;0,04;2,98;3,7;0,39;1,77;0,09
Gene_1007;3,34;0,09;2,03;1,75;0,05;0,07;0,07
Gene_1008;6,21;0,05;2,89;3,34;1,35;1,1;0,6
Gene_1009;2,75;0,55;1,84;0,64;3,62;3,11;1,33
Gene_1010;4,91;2,16;3,95;4,51;1,81;3,16;5,12
Gene_1011;4,18;0,12;2,6;3,75;0,25;0,07;0
Gene_1012;0,55;0,11;0,37;0,63;2,02;0,14;0,09
Gene_1013;3,46;0,1;2,42;3,85;0,16;0,53;0,13
Gene_1014;2,42;0,18;3,43;3,63;1,42;1,74;1,62
Gene_1015;1,81;0,5;2,43;4,79;4,35;3,82;2,61
Gene_1016;7,37;0,07;8,67;9,94;1,36;4,3;9,84
Gene_1017;0,6;0,03;0,86;0,72;0,15;2,83;4,44
Gene_1018;7,32;5,94;6,33;6,49;6,64;3,88;2,41
Gene_1019;5,43;1,12;5,11;4,64;2,42;6,8;3,43
Gene_1020;2,33;0;0,5;5,13;0,43;2,14;1,25
Gene_1021;7,74;1,73;4,12;4,6;2;4,34;0,89
Gene_1022;5,38;7,72;5,06;1,33;4,31;1,3;0,07
Gene_1023;3,54;0,96;1,19;2,23;1,1;1,3;0,1
Gene_1024;0,52;1,16;1,46;0,43;0,17;5,99;0,57
Gene_1025;5,47;1,23;3,62;3,01;3,08;0,9;0,67
Gene_1026;5,12;1,29;3,71;2,29;1,37;3,19;1,37
Gene_1027;1,87;0,02;1,2;2,31;0,19;0,67;0,32
Gene_1028;0,46;4,61;0,65;0,44;0,5;2,69;4,59
Gene_1029;4,19;3,33;6,69;5,68;2,61;5,6;7,62
Gene_1030;4,9;0,57;2,77;1,32;2,73;1,81;2,39
Gene_1031;0,78;0,6;0,51;0,64;0,24;8,95;0,02
Gene_1032;1,93;5,48;1,13;0,66;0,33;3,94;0
Gene_1033;3,94;0,07;2,72;2,72;0,21;1,72;0,09
Gene_1034;3,24;0,04;1,98;2,32;0,16;1,69;0,26
Gene_1035;0,78;0,06;0,42;1,67;0,36;10,71;0,06
Gene_1036;1,64;1,29;3,8;1,2;0,34;2,54;7,66
Gene_1037;3,23;0,86;2,11;2,38;0,33;3,21;1,84
Gene_1038;2,82;0,18;0,51;2,52;0,19;1,16;0,74
Gene_1039;6,41;2,91;3,6;2,34;1,37;3;0,68
Gene_1040;0,76;0,66;1,52;1,27;0,46;1,26;0,64
Gene_1041;5,76;0,07;2,03;3,21;0,2;2,54;0,24
Gene_1042;1,19;0,06;2,01;1,38;0,03;1,71;0,34
Gene_1043;2,06;0;3,51;0,26;0,43;5,42;2,62
Gene_1044;4,35;0,05;4,61;1,96;0,09;2,4;0,25
Gene_1045;3,34;0,11;1,56;1,19;0,07;0,99;3,35
Gene_1046;2,75;1,7;3,41;2,35;1,43;1,99;4,06
Gene_1047;3,35;0,75;6,68;6,14;3,06;3,42;6,18
Gene_1048;2,8;0,05;1,75;0,61;0,04;1,06;0,01
Gene_1049;6,48;0,23;6,22;5,81;1,91;6,2;1,73
Gene_1050;6,84;2,36;7,78;6,66;4,18;5,41;4,31
Gene_1051;2,87;0,39;3,4;3,01;3,57;2,89;3,25
Gene_1052;0,28;1,45;0,3;0,17;0,41;1,13;3,73
Gene_1053;2,88;2,41;1,79;0,64;0,2;4,41;0,11
Gene_1054;3,95;3,23;3,38;5,78;2,71;3,13;1,96
Gene_1055;2,86;1,48;2,3;3,86;1,48;3,41;2,17
Gene_1056;3,02;0,05;1,2;1,86;1,75;1,23;2,48
Gene_1057;3,83;0,04;1,09;1,64;0,15;1,03;1,73
Gene_1058;1,64;0,76;0,53;0,72;1,34;2,27;0,75
Gene_1059;2,15;0,02;0,15;0,43;0,5;10,46;0,2
Gene_1060;5,6;0,44;1,67;1,09;0,21;0,86;0,51
Gene_1061;0,48;1,58;1,69;1,82;0,55;1,16;0,14
Gene_1062;2,89;0,14;1,71;3,01;0,52;1,44;0,86
Gene_1063;2,72;0,08;0,41;1,09;0,19;2,74;0,27
Gene_1064;5,69;2,87;1,79;3,07;4,47;2,38;1,89
Gene_1065;2,6;0,41;2,02;2,83;0,39;3,33;0,21
Gene_1066;0,81;0,14;0,17;0,11;0,04;0,19;0
Gene_1067;2,81;0,78;1,89;3,33;0,28;2,04;0
Gene_1068;1,22;5,49;0,96;0,52;0,78;10,99;0,76
Gene_1069;0,59;0,36;0,6;0;0;0,17;0
Gene_1070;4,1;0,59;2,82;3,25;0,45;1,18;1,75
Gene_1071;0,94;0,02;1,8;2,75;0,06;3,17;0,13
Gene_1072;7,33;0,84;6,56;6,76;1,52;3,68;5,27
Gene_1073;3,42;0;2,99;2,33;0,57;1,8;0,29
Gene_1074;5,26;1,43;5,12;5,13;2,1;3,29;2,8
Gene_1075;2,27;0,57;5,52;7,67;2,16;6,05;8,1
Gene_1076;4,64;1,29;3,36;7,46;5,36;4,31;4,48
Gene_1077;5,59;0,76;4,22;3,01;2,86;4,91;2,59
Gene_1078;4,52;0,11;1,89;4,64;4,74;2,05;1,43
Gene_1079;4,3;0,13;3,85;2,63;1,27;2,02;1,56
Gene_1080;0,29;0,14;1,43;1,96;0,26;0,78;4,89
Gene_1081;4,46;0,36;3,88;4,09;0,59;1,15;0,7
Gene_1082;7,85;1,07;3,7;2,83;3,58;1,92;2,76
Gene_1083;2,89;0,66;2,18;3,74;1,75;1,18;0,91
Gene_1084;2,34;0,1;2,07;2,05;0,44;0,55;0,02
Gene_1085;3,72;0,02;0,79;0,68;0,13;0,34;0,15
Gene_1086;2,75;0,04;0,34;1,37;1,66;3,04;0,6
Gene_1087;2,72;0,08;1,03;2,38;2,44;0,53;0,9
Gene_1088;0,89;0,15;0,74;0,19;3,29;1,03;2,72
Gene_1089;4,15;0,58;6,02;9,8;2,4;10,66;10,88
Gene_1090;1,44;0,06;4,82;5,37;0,39;2,71;3,15
Gene_1091;5,8;3,38;4,35;5,58;0,84;4,03;2,77
Gene_1092;3,9;0,16;3,24;3,5;0,21;4,77;1,09
Gene_1093;1,87;0,04;1,5;1,23;0,41;0,69;0
Gene_1094;1,8;0,38;2,36;1,16;0,52;3,16;0,6
Gene_1095;4,1;2,14;3,77;5,74;4,15;4,1;6,24
Gene_1096;3,46;0,06;2,85;2,87;0,09;1,38;4,03
Gene_1097;3,63;0,17;1,28;0,9;0,67;11,27;1,45
Gene_1098;4,13;0,2;1,5;1,56;0,13;2,98;0,54
Gene_1099;2,81;0,87;0,65;1,53;1;0,93;3
Gene_1100;3,08;0,9;2,22;3,05;0,83;2,46;1,52
Gene_1101;2,28;0;1,85;2,99;1,45;1,42;1,55
Gene_1102;0,47;0;0,15;0,07;0,06;0,06;0,17
Gene_1103;0,37;0;0,03;0,21;0,1;0,1;0,19
Gene_1104;1,19;0,02;0,56;0,44;0,26;4,63;0,58
Gene_1105;3,31;0,21;2,47;3,6;0,86;0,31;1,57
Gene_1106;4,02;1,47;4,51;5,35;3,08;4,9;3,44
Gene_1107;3,96;0,75;6,3;7,71;1,95;2,92;6,89
Gene_1108;2,4;0,08;2,96;4,45;2,36;1,84;1,15
Gene_1109;6,09;0,02;2,89;0,9;0,12;0,39;0,04
Gene_1110;2,41;0,04;1,13;2,1;0,08;1,26;0
Gene_1111;2,4;0;2,9;2,16;0,21;3,94;0,05
Gene_1112;6,54;0,1;4,76;4,83;2,79;5,58;4,07
Gene_1113;5,85;2,88;3,23;1,68;3,44;0,4;1,12
Gene_1114;4,81;0,99;2,46;1,37;2,88;1,17;0,84
Gene_1115;6,43;0,13;6,6;9,42;1,6;2,13;1,28
Gene_1116;4,85;0,03;5,36;6,2;2,45;1,37;0,71
Gene_1117;4,02;0,4;3,28;2,68;0,27;0,58;1,07
Gene_1118;4,66;0,53;2,94;4,95;1,28;0,2;0,32
Gene_1119;3,78;0,27;2,3;0,69;0,26;1,36;1,21
Gene_1120;2,02;0,05;1,12;2,47;0,76;1,56;0,05
Gene_1121;0,41;0,47;0,31;2,37;0,15;0,62;0
Gene_1122;3,53;0,24;1,78;2,19;0,38;2,56;6,08
Gene_1123;2,98;1,03;2,89;3,54;0,81;4,28;4,06
Gene_1124;2,51;2,9;2,64;3,84;0,44;1,4;0,68
Gene_1125;3,52;0,98;2,49;2,33;0,28;1,03;0,51
Gene_1126;5,13;0,48;2,12;1,41;2,02;1,99;2,13
Gene_1127;0,82;0,82;4,68;6,38;2,93;3,63;7,88
Gene_1128;2,58;0,02;3,18;3,6;3,66;8,58;4,41
Gene_1129;3,96;0,05;3,36;4,59;1,01;1,79;0,69
Gene_1130;0,36;1,33;0,62;0,48;1,47;4,31;0,26
Gene_1131;3,86;0,04;1,31;1,03;0,06;2,36;0,39
Gene_1132;5,84;4,26;1,64;4,15;0,39;3,95;8,24
Gene_1133;3,86;2,41;3,89;6,07;0,83;3,47;6,22
Gene_1134;0,06;0,41;0,34;0;0;0;0,4
Gene_1135;3,64;0,01;1,51;0,9;0,21;1,42;0,57
Gene_1136;4,95;0,16;4,05;3,78;0,11;1,67;1,34
Gene_1137;1,53;4,44;3,45;1,94;0,51;0,24;1,99
Gene_1138;2,89;0,67;1,32;2,91;0,1;0,18;0,76
Gene_1139;1,52;0,09;1,63;0,65;0,04;4,09;0,22
Gene_1140;4,96;0;3,56;3,18;0,19;3,3;0,38
Gene_1141;5,13;0,13;3,52;6,18;0,58;5,14;0,75
Gene_1142;1,12;0,02;0,61;2,21;0,28;7,54;1,15
Gene_1143;4,9;0,18;2,05;2,76;0,36;1,34;0,62
Gene_1144;3,62;1,26;2,09;2,93;1,21;3,53;3,28
Gene_1145;0,47;0,02;0,18;0,05;0,52;3,32;1,21
Gene_1146;9,23;0,38;6,25;7,88;4,16;6,22;2,13
Gene_1147;9,35;0,9;7,58;8;2,56;5,71;1,14
Gene_1148;2,1;0,35;1,69;3,45;0,22;0,39;0,79
Gene_1149;4,88;2,03;3,93;5,95;0,7;0,38;1,06
Gene_1150;5,23;0,15;4,05;1,99;0,2;1,23;0,13
Gene_1151;4,07;0,34;3,3;2,21;2,81;1,72;0,51
Gene_1152;5,31;0,85;6,11;3,74;3,26;2,24;0,49
Gene_1153;0,91;0,09;1,06;0,65;0,21;1,36;0,03
Gene_1154;3,66;0,08;2,7;0,55;0,61;2,22;0,35
Gene_1155;3,69;0,04;3,24;2,09;0,36;1,79;0,13
Gene_1156;6,75;0,07;7,32;6,02;1,24;3,29;1,35
Gene_1157;5,81;0,16;4,4;6,47;1,74;4,3;4,59
Gene_1158;4,66;0,46;2,84;1,73;0,1;0,58;0,61
Gene_1159;4,75;0,3;5,88;8,16;0,41;3,25;3,79
Gene_1160;2,52;0,2;2,39;3,66;0,29;4,16;1,49
Gene_1161;5,13;0,59;4,59;7,22;0,55;1,37;1,16
Gene_1162;1,51;0,08;0,45;1,59;0,27;1,61;0,17
Gene_1163;5,11;1,19;2,6;3,24;2,24;0,57;0,3
Gene_1164;3,1;0;4,05;7,03;0,78;1,13;0,07
Gene_1165;0,44;0,08;2,39;3,48;2,28;2,96;0,43
Gene_1166;10,21;0;8,38;9,7;3,22;7,41;4,88
Gene_1167;0,61;0;0,67;1,25;0,38;7,64;7,05
Gene_1168;7,27;0,04;6,14;7,51;0,66;4,45;1,02
Gene_1169;8,91;2,47;6,69;6,48;5,91;7,38;3,88
Gene_1170;2,14;0,41;0,75;1,15;0,44;1,83;1,59
Gene_1171;2,64;0,68;0,79;1,36;1,19;2,02;0,07
Gene_1172;0,43;0,08;0,78;0,66;4,33;1,27;0,74
Gene_1173;6,42;1,5;3,15;2,01;1,09;2,19;1,28
Gene_1174;6,33;0,23;3,01;3,69;0,82;3,65;0,64
Gene_1175;5,31;0,19;3,27;2,25;1,12;1,11;0,16
Gene_1176;6,14;3,89;3,17;3,71;5,86;4,01;2,75
Gene_1177;6,53;1,56;7,35;6,57;6,67;8,14;5,64
Gene_1178;1,23;0,08;0,61;0,91;0,45;8,52;0,73
Gene_1179;2,63;0,09;3,87;3,08;1,96;8,58;1,5
Gene_1180;4,14;0,04;3,6;4,43;0,39;0,16;0,23
Gene_1181;0,51;0,09;0,86;0,61;0,32;5,16;1,78
Gene_1182;2,9;0,45;0,87;0,49;0,25;5,68;0,38
Gene_1183;4,22;5,63;2,37;2,13;0,98;4,38;0,84
Gene_1184;4,73;2,5;3,78;3,06;2,79;1,51;1,4
Gene_1185;0,86;0,29;1,22;1,86;0,64;2,69;1,23
Gene_1186;4,73;0,24;2,82;0,99;0,25;0,38;0,38
Gene_1187;4,53;0,45;1,38;0,27;1,08;0,58;1,63
Gene_1188;5,4;4,19;5,19;4,82;3,44;5;5,03
Gene_1189;4,77;0,46;3,17;4,81;3,34;2,21;0,72
Gene_1190;3,61;1,23;3,64;3,31;1,19;2,73;3,09
Gene_1191;3,11;1,63;2,78;4,07;1,74;2,87;0,91
Gene_1192;3,08;0,05;1,12;0,84;0,13;1,35;1,29
Gene_1193;2,83;0,17;1,58;0,41;0,29;5,5;2,53
Gene_1194;6,43;1,88;2,73;1,09;0,18;4,35;1,44
Gene_1195;0,89;0,34;1,49;1,14;1,95;4,58;8,73
Gene_1196;2,19;1,69;4,18;5,62;3,57;3,4;5,39
Gene_1197;5,94;0,24;5,61;6,43;1,91;2,77;2,35
Gene_1198;3,17;1,36;3,27;1,26;0,54;1,7;0,3
Gene_1199;5,04;1,12;3,84;2,58;1,59;10,51;0,36
Gene_1200;2,16;1,89;3,81;3,56;0,84;1,54;0,27
Gene_1201;4,02;1,58;1,72;2,17;3,51;1,02;3,14
Gene_1202;5,03;0,32;2,05;4,77;1,07;1,31;0,23
Gene_1203;6,09;4,05;3,97;4,33;1,11;2,96;0,21
Gene_1204;0,15;0,03;1,65;1,02;4,11;0,71;0,94
Gene_1205;10,47;9,85;2,96;0,79;0,97;0,48;0,23
Gene_1206;6,74;0,98;0,06;0,58;0,31;0,1;0
Gene_1207;13,12;14,85;4,93;5,59;5,25;3,95;2,62
Gene_1208;3,02;0,66;2,25;4,16;5,73;0,5;1,06
Gene_1209;6,3;0,02;7,41;11,03;9,84;6,98;8,27
Gene_1210;2,3;0;0,68;1,38;1,87;4,68;1,39
Gene_1211;5,88;0;0,83;3,91;4,05;1,89;2,95
Gene_1212;4,74;0;4,37;6,92;4,2;3,82;0,8
Gene_1213;3,14;0;1,01;3,19;4,16;0,67;0,01
Gene_1214;0,6;0,24;1,51;4,43;3,26;6,35;3,4
Gene_1215;5,61;0,06;1,48;5,32;5,42;1,92;1,12
Gene_1216;0;0;0,02;0;0;0,07;0,94
Gene_1217;0;0;0,01;0,26;0,16;0,09;0,17
Gene_1218;0,01;0,01;0,03;0,38;0,02;0,01;0,02
Gene_1219;0,03;0;0,01;0,03;0,02;0;0
Gene_1220;0,01;0;0;0;0,05;0,02;0
Gene_1221;0,02;0;0;0;0;0;0,07
Gene_1222;0,02;0;0;0;0;0;0,46
Gene_1223;0;0;0;0;0;0;0,58
Gene_1224;0,06;0,01;0;0,07;0,05;0,2;0,12
Gene_1225;0;0;0,03;0,13;0;0,21;0,02
Gene_1226;0,01;0;0,03;0;0;0,11;0,18
Gene_1227;0,03;0;0,02;0;0,02;0,18;0,27
Gene_1228;0,81;0;0;0,05;0;0;0
Gene_1229;1,69;0;0,1;0;0,01;0,06;0
Gene_1230;0,69;0,01;0,21;2,1;0,9;0,03;0,12
Gene_1231;0,03;0;0;0,13;0,05;0,06;0,22
Gene_1232;0,95;0;0,07;1,8;2,05;0,86;0,09
Gene_1233;0,54;0,03;0,17;1,97;1,46;0,96;0,56
Gene_1234;1,95;0;2,29;3,45;2,01;1,2;1,86
Gene_1235;3,57;1,98;3,17;4,82;5,65;4,12;3,41
Gene_1236;3,34;0,16;3,94;8,29;4,35;6,09;0,52
Gene_1237;8,71;7,42;9,31;12,69;12,83;11,66;10,59
Gene_1238;1,9;0;1,76;6,15;0,53;2,36;0,71
Gene_1239;0,4;0;1,39;1,46;3,14;0,34;0,72
Gene_1240;2,22;0,01;0,87;2,53;3,95;0,47;0,64
Gene_1241;0,6;0,04;3,34;9,15;3,34;3,42;4,92
Gene_1242;0,97;1,45;2,37;2,69;2,92;2,34;2,19
Gene_1243;0,79;0,15;0,91;0,29;1,15;0,4;0,2
Gene_1244;4,87;0,42;0,62;3,48;0,42;1,59;0,89
Gene_1245;3,17;0;2,4;0,1;0,02;1,41;0,49
Gene_1246;5,95;0,15;2,83;1,04;0,89;1,76;0,24
Gene_1247;4,56;2;2,45;4,3;0,83;1,56;3,26
Gene_1248;5,22;1,3;4;5,08;1,18;1,62;0
Gene_1249;3,51;6,37;0,63;0,45;3,26;0,14;0,91
Gene_1250;0,64;1,92;1,19;2,99;2,85;5,05;6,5
Gene_1251;1,04;0,93;0,43;0,22;2,48;1,79;2,44
Gene_1252;1,4;0,03;0,76;2,96;2,3;2,67;0,76
Gene_1253;2,44;0,07;3,04;1,41;0,29;2,09;4,54
Gene_1254;3,48;1,31;4,09;3,79;2,3;3,17;3,43
Gene_1255;4,94;1,91;3,81;2,55;0,53;1,93;1,97
Gene_1256;2,85;1,86;2,31;2,13;0,38;2,3;2,53
